benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A1,150,1.0,1.5,0.07437973632305617,0.8160592255125285,0.13633336504614216,19266,1433,17833,323,1669,67,3
A1,150,1.0,4.5,0.3120629370629371,0.2265228426395939,0.2625,1144,357,787,1219,1669,67,3
A1,150,1.0,7.5,0.459546925566343,0.08919597989949749,0.1493950552340873,309,142,167,1450,1669,67,3
A1,150,1.0,10.5,0.5808823529411765,0.049282595134123516,0.09085681426106959,136,79,57,1524,1669,67,3
A1,150,1.0,13.5,0.7142857142857143,0.040222772277227724,0.07615700058582309,91,65,26,1551,1669,67,3
A1,150,1.0,16.5,0.7464788732394366,0.03269586674892042,0.06264775413711585,71,53,18,1568,1669,67,3
A1,150,1.0,19.5,0.7758620689655172,0.02770935960591133,0.05350772889417361,58,45,13,1579,1669,67,3
A1,150,4.0,1.5,0.5315682281059063,0.16926070038910507,0.25676340383669455,491,261,230,1281,1669,67,3
A1,150,4.0,4.5,0.5238095238095238,0.14066496163682865,0.22177419354838712,420,220,200,1344,1669,67,3
A1,150,4.0,7.5,0.5398230088495575,0.07682619647355164,0.13450937155457554,226,122,104,1466,1669,67,3
A1,150,4.0,10.5,0.6341463414634146,0.048658764815970056,0.09038238702201622,123,78,45,1525,1669,67,3
A1,150,4.0,13.5,0.7619047619047619,0.039603960396039604,0.07529411764705883,84,64,20,1552,1669,67,3
A1,150,4.0,16.5,0.8,0.032078963602714373,0.06168446026097272,65,52,13,1569,1669,67,3
A1,150,4.0,19.5,0.8301886792452831,0.027093596059113302,0.05247465712581992,53,44,9,1580,1669,67,3
A1,150,7.0,1.5,0.7426470588235294,0.06441326530612244,0.11854460093896713,136,101,35,1467,1669,67,3
A1,150,7.0,4.5,0.7388059701492538,0.0631780472239949,0.1164021164021164,134,99,35,1468,1669,67,3
A1,150,7.0,7.5,0.7203389830508474,0.05356017643352237,0.09970674486803519,118,85,33,1502,1669,67,3
A1,150,7.0,10.5,0.7419354838709677,0.04291044776119403,0.08112874779541446,93,69,24,1539,1669,67,3
A1,150,7.0,13.5,0.8082191780821918,0.03639728562615669,0.06965761511216055,73,59,14,1562,1669,67,3
A1,150,7.0,16.5,0.847457627118644,0.030864197530864196,0.059559261465157824,59,50,9,1570,1669,67,3
A1,150,7.0,19.5,0.86,0.02647783251231527,0.051373954599761046,50,43,7,1581,1669,67,3
A1,150,10.0,1.5,0.8333333333333334,0.04059962523422861,0.07742703990470519,78,65,13,1536,1669,67,3
A1,150,10.0,4.5,0.8289473684210527,0.03920348475420037,0.0748663101604278,76,63,13,1544,1669,67,3
A1,150,10.0,7.5,0.8260869565217391,0.03525046382189239,0.06761565836298933,69,57,12,1560,1669,67,3
A1,150,10.0,10.5,0.8333333333333334,0.033971587399629403,0.06528189910979229,66,55,11,1564,1669,67,3
A1,150,10.0,13.5,0.8666666666666667,0.032059186189889025,0.06183115338882283,60,52,8,1570,1669,67,3
A1,150,10.0,16.5,0.8888888888888888,0.029556650246305417,0.057210965435041714,54,48,6,1576,1669,67,3
A1,150,10.0,19.5,0.875,0.025798525798525797,0.050119331742243436,48,42,6,1586,1669,67,3
A1,200,1.0,1.5,0.08005249343832022,0.8201680672268907,0.14586758332087882,18288,1464,16824,321,1669,67,3
A1,200,1.0,4.5,0.34893617021276596,0.2560899437851343,0.29538904899135443,1175,410,765,1191,1669,67,3
A1,200,1.0,7.5,0.48242811501597443,0.09467084639498433,0.15828092243186584,313,151,162,1444,1669,67,3
A1,200,1.0,10.5,0.6054421768707483,0.055625,0.10188895248998284,147,89,58,1511,1669,67,3
A1,200,1.0,13.5,0.75,0.04091754494730316,0.07760141093474426,88,66,22,1547,1669,67,3
A1,200,1.0,16.5,0.8208955223880597,0.033866995073891626,0.06505026611472502,67,55,12,1569,1669,67,3
A1,200,1.0,19.5,0.8461538461538461,0.02702702702702703,0.05238095238095238,52,44,8,1584,1669,67,3
A1,200,4.0,1.5,0.62,0.20156046814044212,0.30421982335623154,500,310,190,1228,1669,67,3
A1,200,4.0,4.5,0.5886524822695035,0.15930902111324377,0.25075528700906347,423,249,174,1314,1669,67,3
A1,200,4.0,7.5,0.5774647887323944,0.07701941139636818,0.13591160220994475,213,123,90,1474,1669,67,3
A1,200,4.0,10.5,0.6910569105691057,0.053125,0.09866511897852583,123,85,38,1515,1669,67,3
A1,200,4.0,13.5,0.7764705882352941,0.04091754494730316,0.07773851590106007,85,66,19,1547,1669,67,3
A1,200,4.0,16.5,0.8333333333333334,0.033866995073891626,0.0650887573964497,66,55,11,1569,1669,67,3
A1,200,4.0,19.5,0.8461538461538461,0.02702702702702703,0.05238095238095238,52,44,8,1584,1669,67,3
A1,200,7.0,1.5,0.7883211678832117,0.06887755102040816,0.12668621700879765,137,108,29,1460,1669,67,3
A1,200,7.0,4.5,0.7851851851851852,0.06760204081632654,0.1244862008220787,135,106,29,1462,1669,67,3
A1,200,7.0,7.5,0.7614678899082569,0.05216844751728473,0.09764705882352942,109,83,26,1508,1669,67,3
A1,200,7.0,10.5,0.7916666666666666,0.04755944931163955,0.08972845336481701,96,76,20,1522,1669,67,3
A1,200,7.0,13.5,0.8356164383561644,0.0377008652657602,0.07214665878178593,73,61,12,1557,1669,67,3
A1,200,7.0,16.5,0.8548387096774194,0.03265557609365373,0.0629080118694362,62,53,9,1570,1669,67,3
A1,200,7.0,19.5,0.8775510204081632,0.026412776412776413,0.05128205128205128,49,43,6,1585,1669,67,3
A1,200,10.0,1.5,0.85,0.04244694132334582,0.08085612366230678,80,68,12,1534,1669,67,3
A1,200,10.0,4.5,0.8461538461538461,0.041044776119402986,0.07829181494661921,78,66,12,1542,1669,67,3
A1,200,10.0,7.5,0.8428571428571429,0.03641975308641975,0.06982248520710059,70,59,11,1561,1669,67,3
A1,200,10.0,10.5,0.8382352941176471,0.03518518518518519,0.06753554502369669,68,57,11,1563,1669,67,3
A1,200,10.0,13.5,0.8688524590163934,0.032575291948371235,0.06279620853080568,61,53,8,1574,1669,67,3
A1,200,10.0,16.5,0.875,0.030061349693251534,0.05812574139976275,56,49,7,1581,1669,67,3
A1,200,10.0,19.5,0.8913043478260869,0.025122549019607844,0.04886769964243146,46,41,5,1591,1669,67,3
A1,250,1.0,1.5,0.08483348334833483,0.8467153284671532,0.15421588178145934,17776,1508,16268,273,1669,67,3
A1,250,1.0,4.5,0.3862433862433862,0.2751256281407035,0.3213499633162142,1134,438,696,1154,1669,67,3
A1,250,1.0,7.5,0.5555555555555556,0.10012515644555695,0.1696712619300106,288,160,128,1438,1669,67,3
A1,250,1.0,10.5,0.6666666666666666,0.05860349127182045,0.10773638968481376,141,94,47,1510,1669,67,3
A1,250,1.0,13.5,0.7666666666666667,0.04283054003724395,0.08112874779541447,90,69,21,1542,1669,67,3
A1,250,1.0,16.5,0.7605633802816901,0.03318992009834051,0.06360424028268552,71,54,17,1573,1669,67,3
A1,250,1.0,19.5,0.7777777777777778,0.030098280098280097,0.0579538734476641,63,49,14,1579,1669,67,3
A1,250,4.0,1.5,0.6737864077669903,0.2263535551206784,0.33886718749999994,515,347,168,1186,1669,67,3
A1,250,4.0,4.5,0.6542056074766355,0.1792573623559539,0.2814070351758794,428,280,148,1282,1669,67,3
A1,250,4.0,7.5,0.6699029126213593,0.08652037617554859,0.1532481954469739,206,138,68,1457,1669,67,3
A1,250,4.0,10.5,0.7355371900826446,0.05552089831565814,0.10324825986078887,121,89,32,1514,1669,67,3
A1,250,4.0,13.5,0.8292682926829268,0.04218362282878412,0.08028335301062574,82,68,14,1544,1669,67,3
A1,250,4.0,16.5,0.84375,0.03318992009834051,0.06386753400354821,64,54,10,1573,1669,67,3
A1,250,4.0,19.5,0.8448275862068966,0.030098280098280097,0.05812574139976275,58,49,9,1579,1669,67,3
A1,250,7.0,1.5,0.8275862068965517,0.07672634271099744,0.1404330017554125,145,120,25,1444,1669,67,3
A1,250,7.0,4.5,0.8251748251748252,0.07544757033248081,0.13825424721734034,143,118,25,1446,1669,67,3
A1,250,7.0,7.5,0.7964601769911505,0.056461731493099125,0.10544815465729351,113,90,23,1504,1669,67,3
A1,250,7.0,10.5,0.8421052631578947,0.05006257822277847,0.09450679267572355,95,80,15,1518,1669,67,3
A1,250,7.0,13.5,0.8857142857142857,0.0383426097711812,0.07350326022525193,70,62,8,1555,1669,67,3
A1,250,7.0,16.5,0.9107142857142857,0.03136531365313653,0.060642092746730075,56,51,5,1575,1669,67,3
A1,250,7.0,19.5,0.9056603773584906,0.029484029484029485,0.057108863771564544,53,48,5,1580,1669,67,3
A1,250,10.0,1.5,0.8875,0.044458359423919847,0.08467501490757304,80,71,9,1526,1669,67,3
A1,250,10.0,4.5,0.8860759493670886,0.043832185347526614,0.08353221957040573,79,70,9,1527,1669,67,3
A1,250,10.0,7.5,0.8805970149253731,0.03641975308641975,0.06994665085951392,67,59,8,1561,1669,67,3
A1,250,10.0,10.5,0.8805970149253731,0.03641975308641975,0.06994665085951392,67,59,8,1561,1669,67,3
A1,250,10.0,13.5,0.8983050847457628,0.032555282555282554,0.06283343212803794,59,53,6,1575,1669,67,3
A1,250,10.0,16.5,0.9245283018867925,0.030061349693251534,0.0582293523469994,53,49,4,1581,1669,67,3
A1,250,10.0,19.5,0.9215686274509803,0.028799019607843136,0.0558526440879382,51,47,4,1585,1669,67,3
