benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A1,200,1.0,1.1,0.07873931623931624,0.8294879009566686,0.143825925745231,18720,1474,17246,303,1669,67,3
A1,200,1.0,1.6,0.08082497212931995,0.8141493542953397,0.1470513665635617,17940,1450,16490,331,1669,67,3
A1,200,1.0,2.1,0.09566756574511126,0.6688273423688863,0.16739178526657328,11864,1135,10729,562,1669,67,3
A1,200,1.0,2.6,0.16196223476737395,0.5003006614552015,0.24470588235294116,5137,832,4305,831,1669,67,3
A1,200,1.0,3.1,0.23937282229965157,0.4227692307692308,0.30567296996662957,2870,687,2183,938,1669,67,3
A1,200,1.0,3.6,0.27686796315250767,0.33791380387257963,0.3043600562587905,1954,541,1413,1060,1669,67,3
A1,200,1.0,4.1,0.3189113747383112,0.2870603015075377,0.3021487603305785,1433,457,976,1135,1669,67,3
A1,200,1.0,4.6,0.35778985507246375,0.2474937343358396,0.2925925925925926,1104,395,709,1201,1669,67,3
A1,200,2.0,1.1,0.2667826086956522,0.4910371318822023,0.3457290962361957,2875,767,2108,795,1669,67,3
A1,200,2.0,1.6,0.26771378708551485,0.4910371318822023,0.34651005195391915,2865,767,2098,795,1669,67,3
A1,200,2.0,2.1,0.2741007194244604,0.4862795149968092,0.35058661145617664,2780,762,2018,805,1669,67,3
A1,200,2.0,2.6,0.27918170878459686,0.435,0.34009284143659907,2493,696,1797,904,1669,67,3
A1,200,2.0,3.1,0.298810703666997,0.376875,0.33333333333333337,2018,603,1415,997,1669,67,3
A1,200,2.0,3.6,0.3098139833226427,0.3039647577092511,0.306861499364676,1559,483,1076,1106,1669,67,3
A1,200,2.0,4.1,0.34248788368336025,0.26750788643533124,0.30038965639390713,1238,424,814,1161,1669,67,3
A1,200,2.0,4.6,0.3743641912512716,0.23130106851037083,0.28593628593628595,983,368,615,1223,1669,67,3
A1,200,3.0,1.1,0.4496124031007752,0.3030698889614631,0.3620756925477956,1032,464,568,1067,1669,67,3
A1,200,3.0,1.6,0.45004849660523766,0.3030698889614631,0.3622170179547229,1031,464,567,1067,1669,67,3
A1,200,3.0,2.1,0.45048543689320386,0.3030698889614631,0.3623584537290121,1030,464,566,1067,1669,67,3
A1,200,3.0,2.6,0.44301288404360756,0.29120521172638436,0.3514150943396226,1009,447,562,1088,1669,67,3
A1,200,3.0,3.1,0.4332281808622503,0.2664941785252264,0.3299959951942331,951,412,539,1134,1669,67,3
A1,200,3.0,3.6,0.43538998835855647,0.2391304347826087,0.3087082129591415,859,374,485,1190,1669,67,3
A1,200,3.0,4.1,0.4517374517374517,0.22342457033736474,0.2989778534923339,777,351,426,1220,1669,67,3
A1,200,3.0,4.6,0.4657933042212518,0.2035623409669211,0.283311199645861,687,320,367,1252,1669,67,3
A1,200,4.0,1.1,0.62,0.20156046814044212,0.30421982335623154,500,310,190,1228,1669,67,3
A1,200,4.0,1.6,0.62,0.20156046814044212,0.30421982335623154,500,310,190,1228,1669,67,3
A1,200,4.0,2.1,0.62,0.20156046814044212,0.30421982335623154,500,310,190,1228,1669,67,3
A1,200,4.0,2.6,0.6192384769539078,0.20012953367875647,0.302496328928047,499,309,190,1235,1669,67,3
A1,200,4.0,3.1,0.6108786610878661,0.18911917098445596,0.2888229475766568,478,292,186,1252,1669,67,3
A1,200,4.0,3.6,0.5925110132158591,0.1731016731016731,0.2679282868525896,454,269,185,1285,1669,67,3
A1,200,4.0,4.1,0.5936794582392777,0.16913183279742766,0.2632632632632633,443,263,180,1292,1669,67,3
A1,200,4.0,4.6,0.59375,0.15782747603833866,0.24936900555275113,416,247,169,1318,1669,67,3
A1,200,5.0,1.1,0.703971119133574,0.12596899224806202,0.2136986301369863,277,195,82,1353,1669,67,3
A1,200,5.0,1.6,0.703971119133574,0.12596899224806202,0.2136986301369863,277,195,82,1353,1669,67,3
A1,200,5.0,2.1,0.703971119133574,0.12596899224806202,0.2136986301369863,277,195,82,1353,1669,67,3
A1,200,5.0,2.6,0.703971119133574,0.12596899224806202,0.2136986301369863,277,195,82,1353,1669,67,3
A1,200,5.0,3.1,0.6962962962962963,0.1211340206185567,0.20636663007683861,270,188,82,1364,1669,67,3
A1,200,5.0,3.6,0.6928838951310862,0.11866581141757537,0.20262869660460023,267,185,82,1374,1669,67,3
A1,200,5.0,4.1,0.6870229007633588,0.11545862732520847,0.19769357495881384,262,180,82,1379,1669,67,3
A1,200,5.0,4.6,0.6923076923076923,0.1089171974522293,0.18822234452394054,247,171,76,1399,1669,67,3
A1,200,6.0,1.1,0.7593582887700535,0.09067688378033206,0.16200798630918425,187,142,45,1424,1669,67,3
A1,200,6.0,1.6,0.7593582887700535,0.09067688378033206,0.16200798630918425,187,142,45,1424,1669,67,3
A1,200,6.0,2.1,0.7593582887700535,0.09067688378033206,0.16200798630918425,187,142,45,1424,1669,67,3
