benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A4,300,1.0,1.01,0.05717888406605398,0.9072720277029627,0.10757790045166295,41239,2358,38881,241,1044,100,3
A4,300,1.0,3.01,0.4028436018957346,0.398686679174484,0.40075436115040075,1055,425,630,641,1044,100,3
A4,300,1.0,5.01,0.6805555555555556,0.0937799043062201,0.1648444070647603,144,98,46,947,1044,100,3
A4,300,1.0,7.01,0.6666666666666666,0.009551098376313277,0.018832391713747648,15,10,5,1037,1044,100,3
A4,300,1.0,9.01,1.0,0.0028708133971291866,0.0057251908396946565,3,3,0,1042,1044,100,3
A4,300,1.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,1.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,1.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,4.0,1.01,0.432258064516129,0.06399235912129896,0.11148086522462564,155,67,88,980,1044,100,3
A4,300,4.0,3.01,0.4888888888888889,0.06303724928366762,0.11167512690355329,135,66,69,981,1044,100,3
A4,300,4.0,5.01,0.6376811594202898,0.04206500956022945,0.0789237668161435,69,44,25,1002,1044,100,3
A4,300,4.0,7.01,0.6363636363636364,0.0066857688634192934,0.013232514177693763,11,7,4,1040,1044,100,3
A4,300,4.0,9.01,1.0,0.0028708133971291866,0.0057251908396946565,3,3,0,1042,1044,100,3
A4,300,4.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,4.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,4.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,7.0,1.01,0.3333333333333333,0.0009578544061302681,0.0019102196752626551,3,1,2,1043,1044,100,3
A4,300,7.0,3.01,0.3333333333333333,0.0009578544061302681,0.0019102196752626551,3,1,2,1043,1044,100,3
A4,300,7.0,5.01,0.3333333333333333,0.0009578544061302681,0.0019102196752626551,3,1,2,1043,1044,100,3
A4,300,7.0,7.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,7.0,9.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,7.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,7.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,7.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,1.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,3.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,5.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,7.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,9.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,300,10.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,1.0,1.01,0.05786951713969775,0.9022988505747126,0.1087634222376169,40695,2355,38340,255,1044,100,3
A4,325,1.0,3.01,0.3771224307417337,0.3951310861423221,0.38591678097850934,1119,422,697,646,1044,100,3
A4,325,1.0,5.01,0.5561797752808989,0.09464627151051626,0.16176470588235295,178,99,79,947,1044,100,3
A4,325,1.0,7.01,0.6,0.008595988538681949,0.01694915254237288,15,9,6,1038,1044,100,3
A4,325,1.0,9.01,1.0,0.0028708133971291866,0.0057251908396946565,3,3,0,1042,1044,100,3
A4,325,1.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,1.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,1.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,4.0,1.01,0.4230769230769231,0.06303724928366762,0.10972568578553615,156,66,90,981,1044,100,3
A4,325,4.0,3.01,0.4961832061068702,0.06208213944603629,0.11035653650254669,131,65,66,982,1044,100,3
A4,325,4.0,5.01,0.6142857142857143,0.04110898661567878,0.0770609318996416,70,43,27,1003,1044,100,3
A4,325,4.0,7.01,0.6363636363636364,0.0066857688634192934,0.013232514177693763,11,7,4,1040,1044,100,3
A4,325,4.0,9.01,1.0,0.0028708133971291866,0.0057251908396946565,3,3,0,1042,1044,100,3
A4,325,4.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,4.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,4.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,7.0,1.01,0.25,0.0009578544061302681,0.0019083969465648854,4,1,3,1043,1044,100,3
A4,325,7.0,3.01,0.25,0.0009578544061302681,0.0019083969465648854,4,1,3,1043,1044,100,3
A4,325,7.0,5.01,0.25,0.0009578544061302681,0.0019083969465648854,4,1,3,1043,1044,100,3
A4,325,7.0,7.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,7.0,9.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,7.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,7.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,7.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,1.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,3.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,5.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,7.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,9.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,325,10.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,350,1.0,1.01,0.05736008974199178,0.8925523661753297,0.10779284660248753,40115,2301,37814,277,1044,100,3
A4,350,1.0,3.01,0.4264069264069264,0.3724007561436673,0.39757820383451065,924,394,530,664,1044,100,3
A4,350,1.0,5.01,0.6357142857142857,0.08516746411483253,0.150210970464135,140,89,51,956,1044,100,3
A4,350,1.0,7.01,0.391304347826087,0.008595988538681949,0.016822429906542057,23,9,14,1038,1044,100,3
A4,350,1.0,9.01,1.0,0.0028708133971291866,0.0057251908396946565,3,3,0,1042,1044,100,3
A4,350,1.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,350,1.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,350,1.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,350,4.0,1.01,0.41721854304635764,0.06028708133971292,0.10535117056856187,151,63,88,982,1044,100,3
A4,350,4.0,3.01,0.5254237288135594,0.05933014354066986,0.10662080825451418,118,62,56,983,1044,100,3
A4,350,4.0,5.01,0.6129032258064516,0.03636363636363636,0.06865401987353206,62,38,24,1007,1044,100,3
A4,350,4.0,7.01,0.6,0.0057306590257879654,0.011352885525070956,10,6,4,1041,1044,100,3
A4,350,4.0,9.01,1.0,0.0028708133971291866,0.0057251908396946565,3,3,0,1042,1044,100,3
A4,350,4.0,11.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,350,4.0,13.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,350,4.0,15.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
A4,350,7.0,1.01,0.5,0.0019157088122605363,0.003816793893129771,4,2,2,1042,1044,100,3
A4,350,7.0,3.01,0.5,0.0019157088122605363,0.003816793893129771,4,2,2,1042,1044,100,3
A4,350,7.0,5.01,0.3333333333333333,0.0009578544061302681,0.0019102196752626551,3,1,2,1043,1044,100,3
A4,350,7.0,7.01,1.0,0.0009578544061302681,0.0019138755980861245,1,1,0,1043,1044,100,3
