benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A1,300,1.0,1.01,0.08850940342653049,0.8752759381898455,0.1607622522933455,17919,1586,16333,226,1669,67,3
A1,300,1.0,1.21,0.08865783442338868,0.8752759381898455,0.16100705547941727,17889,1586,16303,226,1669,67,3
A1,300,1.0,1.41,0.08938957592184765,0.8736203090507726,0.1621843143281594,17709,1583,16126,229,1669,67,3
A1,300,1.0,1.61,0.09131163235998085,0.8473070516379789,0.16485712742397235,16712,1526,15186,275,1669,67,3
A1,300,1.0,1.81,0.09365918097754293,0.8011299435028248,0.16771141336487286,15140,1418,13722,352,1669,67,3
A1,300,1.0,2.01,0.10211494995156603,0.7274295572167913,0.17908968641608267,12388,1265,11123,474,1669,67,3
A1,300,1.0,2.21,0.1180871828236825,0.638335287221571,0.19930453879941434,9222,1089,8133,617,1669,67,3
A1,300,1.0,2.41,0.1462979482604817,0.5913461538461539,0.23456495828367105,6726,984,5742,680,1669,67,3
A1,300,1.0,2.61,0.18799171842650103,0.5417661097852029,0.2791269597294805,4830,908,3922,768,1669,67,3
A1,300,1.0,2.81,0.22257636122177954,0.49851279000594884,0.30774880646345937,3765,838,2927,843,1669,67,3
A1,300,1.5,1.01,0.18925964546402502,0.6656479217603912,0.294722598105548,5754,1089,4665,547,1669,67,3
A1,300,1.5,1.21,0.1895231465367212,0.6656479217603912,0.29504199403955567,5746,1089,4657,547,1669,67,3
A1,300,1.5,1.41,0.19005235602094242,0.6656479217603912,0.29568286722780346,5730,1089,4641,547,1669,67,3
A1,300,1.5,1.61,0.19064430714916153,0.656934306569343,0.2955260637570119,5665,1080,4585,564,1669,67,3
A1,300,1.5,1.81,0.18855776306107433,0.6234793187347932,0.2895480225988701,5436,1025,4411,619,1669,67,3
A1,300,1.5,2.01,0.1922776911076443,0.5993920972644377,0.2911560608297652,5128,986,4142,659,1669,67,3
A1,300,1.5,2.21,0.19970225435984687,0.5722120658135283,0.2960744127384518,4702,939,3763,702,1669,67,3
