benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A2,300,2.0,3.01,0.9391727493917275,0.8354978354978355,0.8843069873997709,411,386,25,76,466,100,3
A2,300,2.0,3.51,0.9709762532981531,0.7931034482758621,0.8730723606168447,379,368,11,96,466,100,3
A2,300,2.0,4.01,0.9943019943019943,0.7653508771929824,0.8649318463444858,351,349,2,107,466,100,3
A2,300,2.0,4.51,0.9969135802469136,0.7193763919821826,0.8357050452781372,324,323,1,126,466,100,3
A2,300,2.0,5.01,1.0,0.6824324324324325,0.8112449799196787,303,303,0,141,466,100,3
A2,300,2.0,5.51,1.0,0.6455399061032864,0.7845934379457916,275,275,0,151,466,100,3
A2,300,2.0,6.01,1.0,0.6155717761557178,0.7620481927710844,253,253,0,158,466,100,3
A2,300,2.0,6.51,1.0,0.5777777777777777,0.732394366197183,234,234,0,171,466,100,3
A2,300,2.0,7.01,1.0,0.5211970074812967,0.6852459016393442,209,209,0,192,466,100,3
A2,300,2.0,7.51,1.0,0.4987405541561713,0.6655462184873949,198,198,0,199,466,100,3
A2,300,2.0,8.01,1.0,0.45363408521303256,0.6241379310344828,181,181,0,218,466,100,3
A2,300,2.0,8.51,1.0,0.4079601990049751,0.5795053003533569,164,164,0,238,466,100,3
A2,300,2.0,9.01,1.0,0.38461538461538464,0.5555555555555556,155,155,0,248,466,100,3
A2,300,2.0,9.51,1.0,0.35960591133004927,0.5289855072463767,146,146,0,260,466,100,3
A2,300,2.0,10.01,1.0,0.324455205811138,0.489945155393053,134,134,0,279,466,100,3
A2,300,3.0,3.01,1.0,0.7142857142857143,0.8333333333333333,320,320,0,128,466,100,3
A2,300,3.0,3.51,1.0,0.7130044843049327,0.8324607329842931,318,318,0,128,466,100,3
A2,300,3.0,4.01,1.0,0.7029478458049887,0.8255659121171771,310,310,0,131,466,100,3
A2,300,3.0,4.51,1.0,0.6864988558352403,0.8141112618724559,300,300,0,137,466,100,3
A2,300,3.0,5.01,1.0,0.6605504587155964,0.7955801104972376,288,288,0,148,466,100,3
A2,300,3.0,5.51,1.0,0.6348448687350835,0.7766423357664233,266,266,0,153,466,100,3
