benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A2,300,1.0,1.01,0.023858257643597287,0.9946666666666667,0.04659878818164782,31268,746,30522,4,466,100,3
A2,300,1.0,3.01,0.6828125,0.874,0.7666666666666667,640,437,203,63,466,100,3
A2,300,1.0,5.01,0.9968253968253968,0.6901098901098901,0.8155844155844156,315,314,1,141,466,100,3
A2,300,1.0,7.01,1.0,0.5270935960591133,0.6903225806451613,214,214,0,192,466,100,3
A2,300,1.0,9.01,1.0,0.3891625615763547,0.5602836879432624,158,158,0,248,466,100,3
A2,300,1.0,11.01,1.0,0.28672985781990523,0.4456721915285452,121,121,0,301,466,100,3
A2,300,1.0,13.01,1.0,0.22950819672131148,0.37333333333333335,98,98,0,329,466,100,3
A2,300,1.0,15.01,1.0,0.18501170960187355,0.3122529644268775,79,79,0,348,466,100,3
A2,300,4.0,1.01,1.0,0.6046511627906976,0.7536231884057971,260,260,0,170,466,100,3
A2,300,4.0,3.01,1.0,0.6046511627906976,0.7536231884057971,260,260,0,170,466,100,3
A2,300,4.0,5.01,1.0,0.580568720379147,0.7346326836581709,245,245,0,177,466,100,3
A2,300,4.0,7.01,1.0,0.49226804123711343,0.6597582037996546,191,191,0,197,466,100,3
A2,300,4.0,9.01,1.0,0.37531486146095716,0.5457875457875457,149,149,0,248,466,100,3
A2,300,4.0,11.01,1.0,0.2799043062200957,0.4373831775700935,117,117,0,301,466,100,3
A2,300,4.0,13.01,1.0,0.22588235294117648,0.3685220729366603,96,96,0,329,466,100,3
A2,300,4.0,15.01,1.0,0.18309859154929578,0.30952380952380953,78,78,0,348,466,100,3
A2,300,7.0,1.01,1.0,0.2918781725888325,0.4518664047151277,115,115,0,279,466,100,3
A2,300,7.0,3.01,1.0,0.2918781725888325,0.4518664047151277,115,115,0,279,466,100,3
A2,300,7.0,5.01,1.0,0.2900763358778626,0.4497041420118343,114,114,0,279,466,100,3
A2,300,7.0,7.01,1.0,0.2559366754617414,0.40756302521008403,97,97,0,282,466,100,3
A2,300,7.0,9.01,1.0,0.19796954314720813,0.3305084745762712,78,78,0,316,466,100,3
A2,300,7.0,11.01,1.0,0.16049382716049382,0.276595744680851,65,65,0,340,466,100,3
A2,300,7.0,13.01,1.0,0.14769975786924938,0.2573839662447257,61,61,0,352,466,100,3
A2,300,7.0,15.01,1.0,0.12380952380952381,0.22033898305084745,52,52,0,368,466,100,3
A2,300,10.0,1.01,1.0,0.10849056603773585,0.19574468085106386,46,46,0,378,466,100,3
A2,300,10.0,3.01,1.0,0.10849056603773585,0.19574468085106386,46,46,0,378,466,100,3
A2,300,10.0,5.01,1.0,0.10849056603773585,0.19574468085106386,46,46,0,378,466,100,3
A2,300,10.0,7.01,1.0,0.10426540284360189,0.18884120171673818,44,44,0,378,466,100,3
A2,300,10.0,9.01,1.0,0.09198113207547169,0.16846652267818574,39,39,0,385,466,100,3
A2,300,10.0,11.01,1.0,0.08158508158508158,0.15086206896551724,35,35,0,394,466,100,3
A2,300,10.0,13.01,1.0,0.08158508158508158,0.15086206896551724,35,35,0,394,466,100,3
A2,300,10.0,15.01,1.0,0.06896551724137931,0.12903225806451613,30,30,0,405,466,100,3
A2,325,1.0,1.01,0.02437817510061358,0.9932795698924731,0.04758838302530748,30314,739,29575,5,466,100,3
A2,325,1.0,3.01,0.7215815485996705,0.8690476190476191,0.7884788478847884,607,438,169,66,466,100,3
A2,325,1.0,5.01,1.0,0.6904231625835189,0.8168642951251647,310,310,0,139,466,100,3
A2,325,1.0,7.01,1.0,0.5259259259259259,0.6893203883495146,213,213,0,192,466,100,3
A2,325,1.0,9.01,1.0,0.36739659367396593,0.5373665480427047,151,151,0,260,466,100,3
A2,325,1.0,11.01,1.0,0.27790973871733965,0.43494423791821557,117,117,0,304,466,100,3
A2,325,1.0,13.01,1.0,0.2261072261072261,0.3688212927756654,97,97,0,332,466,100,3
A2,325,1.0,15.01,1.0,0.16705336426914152,0.2862823061630218,72,72,0,359,466,100,3
A2,325,4.0,1.01,1.0,0.6064814814814815,0.7550432276657061,262,262,0,170,466,100,3
A2,325,4.0,3.01,1.0,0.6064814814814815,0.7550432276657061,262,262,0,170,466,100,3
A2,325,4.0,5.01,1.0,0.5785714285714286,0.7330316742081447,243,243,0,177,466,100,3
A2,325,4.0,7.01,1.0,0.49489795918367346,0.6621160409556314,194,194,0,198,466,100,3
A2,325,4.0,9.01,1.0,0.35802469135802467,0.5272727272727272,145,145,0,260,466,100,3
A2,325,4.0,11.01,1.0,0.2709832134292566,0.4264150943396226,113,113,0,304,466,100,3
A2,325,4.0,13.01,1.0,0.2188235294117647,0.3590733590733591,93,93,0,332,466,100,3
A2,325,4.0,15.01,1.0,0.16317016317016317,0.280561122244489,70,70,0,359,466,100,3
A2,325,7.0,1.01,1.0,0.288265306122449,0.4475247524752476,113,113,0,279,466,100,3
A2,325,7.0,3.01,1.0,0.288265306122449,0.4475247524752476,113,113,0,279,466,100,3
A2,325,7.0,5.01,1.0,0.2864450127877238,0.4453280318091451,112,112,0,279,466,100,3
A2,325,7.0,7.01,1.0,0.2591623036649215,0.41164241164241167,99,99,0,283,466,100,3
A2,325,7.0,9.01,1.0,0.19298245614035087,0.3235294117647059,77,77,0,322,466,100,3
A2,325,7.0,11.01,1.0,0.15931372549019607,0.2748414376321353,65,65,0,343,466,100,3
A2,325,7.0,13.01,1.0,0.14388489208633093,0.25157232704402516,60,60,0,357,466,100,3
A2,325,7.0,15.01,1.0,0.11241217798594848,0.20210526315789476,48,48,0,379,466,100,3
A2,325,10.0,1.01,1.0,0.1111111111111111,0.19999999999999998,47,47,0,376,466,100,3
A2,325,10.0,3.01,1.0,0.1111111111111111,0.19999999999999998,47,47,0,376,466,100,3
A2,325,10.0,5.01,1.0,0.1111111111111111,0.19999999999999998,47,47,0,376,466,100,3
A2,325,10.0,7.01,1.0,0.10900473933649289,0.1965811965811966,46,46,0,376,466,100,3
A2,325,10.0,9.01,1.0,0.09669811320754718,0.17634408602150536,41,41,0,383,466,100,3
A2,325,10.0,11.01,1.0,0.08139534883720931,0.15053763440860218,35,35,0,395,466,100,3
A2,325,10.0,13.01,1.0,0.07621247113163972,0.14163090128755365,33,33,0,400,466,100,3
A2,325,10.0,15.01,1.0,0.06150341685649203,0.11587982832618025,27,27,0,412,466,100,3
A2,350,1.0,1.01,0.025158074336756882,0.9947089947089947,0.049074950239827705,29891,752,29139,4,466,100,3
A2,350,1.0,3.01,0.7432432432432432,0.8695652173913043,0.8014571948998177,592,440,152,66,466,100,3
A2,350,1.0,5.01,1.0,0.7002237136465325,0.8236842105263159,313,313,0,134,466,100,3
A2,350,1.0,7.01,1.0,0.5235732009925558,0.6872964169381107,211,211,0,192,466,100,3
A2,350,1.0,9.01,1.0,0.3616504854368932,0.5311942959001783,149,149,0,263,466,100,3
