benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A2,300,1.0,1.01,0.023858257643597287,0.9946666666666667,0.04659878818164782,31268,746,30522,4,466,100,3
A2,300,1.0,1.31,0.025817555938037865,0.994475138121547,0.050328533482454904,27888,720,27168,4,466,100,3
A2,300,1.0,1.61,0.031809052267737864,0.9826839826839827,0.061623382499321325,21409,681,20728,12,466,100,3
A2,300,1.0,1.91,0.05645606925769018,0.9593114241001565,0.1066365138731843,10858,613,10245,26,466,100,3
A2,300,1.0,2.21,0.14365821094793058,0.9422066549912435,0.24930491195551435,3745,538,3207,33,466,100,3
A2,300,1.0,2.51,0.3078393881453155,0.9011194029850746,0.45890736342042754,1569,483,1086,53,466,100,3
A2,300,1.0,2.81,0.5177142857142857,0.877906976744186,0.6513299784327823,875,453,422,63,466,100,3
A2,300,1.0,3.11,0.7469670710571924,0.862,0.8003714020427113,577,431,146,69,466,100,3
A2,300,1.0,3.41,0.8580375782881002,0.8236472945891784,0.8404907975460122,479,411,68,88,466,100,3
A2,300,1.0,3.71,0.935251798561151,0.8024691358024691,0.8637873754152824,417,390,27,96,466,100,3
A2,300,1.0,4.01,0.9713541666666666,0.7819706498951782,0.8664343786295006,384,373,11,104,466,100,3
A2,300,1.0,4.31,0.9888268156424581,0.7484143763213531,0.8519855595667871,358,354,4,119,466,100,3
A2,300,1.0,4.61,0.9910714285714286,0.7223427331887202,0.8356336260978671,336,333,3,128,466,100,3
A2,300,1.0,4.91,0.9937694704049844,0.7026431718061674,0.8232258064516128,321,319,2,135,466,100,3
A2,300,1.0,5.21,1.0,0.672566371681416,0.8042328042328042,304,304,0,148,466,100,3
A2,300,1.0,5.51,1.0,0.651270207852194,0.7888111888111888,282,282,0,151,466,100,3
A2,300,1.0,5.81,1.0,0.6273584905660378,0.7710144927536232,266,266,0,158,466,100,3
A2,300,1.0,6.11,1.0,0.6091127098321343,0.7570789865871833,254,254,0,163,466,100,3
A2,300,1.0,6.41,1.0,0.5941320293398533,0.745398773006135,243,243,0,166,466,100,3
A2,300,1.5,1.01,0.07154088050314465,0.91,0.13265306122448978,7632,546,7086,54,466,100,3
A2,300,1.5,1.31,0.09425004395990856,0.9084745762711864,0.17078222080611755,5687,536,5151,54,466,100,3
A2,300,1.5,1.61,0.15386852821407795,0.9073756432246999,0.2631186272071624,3438,529,2909,54,466,100,3
A2,300,1.5,1.91,0.2761596548004315,0.9045936395759717,0.4231404958677686,1854,512,1342,54,466,100,3
