benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A3,200,0.5,2.01,0.058796331971950375,0.9350490196078431,0.11063582976872327,38931,2289,36642,159,943,100,3
A3,200,0.5,2.51,0.14455755677368834,0.7789029535864979,0.2438573315719947,6385,923,5462,262,943,100,3
A3,200,0.5,3.01,0.45425361155698235,0.5841073271413829,0.5110609480812642,1246,566,680,403,943,100,3
A3,200,0.5,3.51,0.645,0.40822784810126583,0.5,600,387,213,561,943,100,3
A3,200,0.5,4.01,0.7342465753424657,0.2841993637327678,0.4097859327217126,365,268,97,675,943,100,3
A3,200,0.6,2.01,0.05913025341537178,0.934487021013597,0.11122281342716328,38356,2268,36088,159,943,100,3
A3,200,0.6,2.51,0.1469453376205788,0.7772108843537415,0.2471606273661439,6220,914,5306,262,943,100,3
A3,200,0.6,3.01,0.48208191126279865,0.5836776859504132,0.5280373831775701,1172,565,607,403,943,100,3
A3,200,0.6,3.51,0.6980108499095841,0.40760295670538543,0.5146666666666667,553,386,167,561,943,100,3
A3,200,0.6,4.01,0.7863501483679525,0.2813163481953291,0.4143862392494136,337,265,72,677,943,100,3
A3,200,0.7,2.01,0.059356701692468115,0.9331651954602774,0.11161387631975868,37401,2220,35181,159,943,100,3
A3,200,0.7,2.51,0.1498158687646468,0.7728842832469776,0.2509814918676388,5974,895,5079,263,943,100,3
A3,200,0.7,3.01,0.5179723502304148,0.5817805383022774,0.5480253534861044,1085,562,523,404,943,100,3
A3,200,0.7,3.51,0.7644710578842315,0.4052910052910053,0.5297372060857538,501,383,118,562,943,100,3
A3,200,0.7,4.01,0.8466453674121406,0.2813163481953291,0.4223107569721115,313,265,48,677,943,100,3
A3,200,0.8,2.01,0.0602795411515759,0.9315834767641996,0.11323221757322176,35916,2165,33751,159,943,100,3
A3,200,0.8,2.51,0.15449973989942778,0.7720970537261699,0.2574772431729519,5767,891,4876,263,943,100,3
A3,200,0.8,3.01,0.5524752475247525,0.5794392523364486,0.5656360871768881,1010,558,452,405,943,100,3
A3,200,0.8,3.51,0.814498933901919,0.4046610169491525,0.54069355980184,469,382,87,562,943,100,3
A3,200,0.8,4.01,0.8688524590163934,0.2813163481953291,0.42502004811547717,305,265,40,677,943,100,3
A3,200,0.9,2.01,0.062253885231610906,0.9286995515695067,0.1166859171197566,33267,2071,31196,159,943,100,3
