benchmark,window,min_threshold,sensitivity,precision,recall,f1,detected,tp,fp,fn,label_count,series_count,tolerance
A3,200,0.5,1.01,0.044765158529965834,0.9756437021572721,0.085602637684699,93957,4206,89751,105,943,100,3
A3,200,0.5,1.51,0.04509465240021794,0.9693496137552953,0.08618015862466215,86263,3890,82373,123,943,100,3
A3,200,0.5,2.01,0.058796331971950375,0.9350490196078431,0.11063582976872327,38931,2289,36642,159,943,100,3
A3,200,0.5,2.51,0.14455755677368834,0.7789029535864979,0.2438573315719947,6385,923,5462,262,943,100,3
A3,200,0.5,3.01,0.45425361155698235,0.5841073271413829,0.5110609480812642,1246,566,680,403,943,100,3
A3,200,0.5,3.51,0.645,0.40822784810126583,0.5,600,387,213,561,943,100,3
A3,200,0.5,4.01,0.7342465753424657,0.2841993637327678,0.4097859327217126,365,268,97,675,943,100,3
A3,200,0.5,4.51,0.8287037037037037,0.18941798941798943,0.30835486649440136,216,179,37,766,943,100,3
A3,200,0.5,5.01,0.8403361344537815,0.10570824524312897,0.18779342723004697,119,100,19,846,943,100,3
A3,200,1.5,1.01,0.11117413499716393,0.8882175226586103,0.19761384641236768,10578,1176,9402,148,943,100,3
A3,200,1.5,1.51,0.11621292157659488,0.8793235972328978,0.20529385374607448,9844,1144,8700,157,943,100,3
A3,200,1.5,2.01,0.12574639971900245,0.8517049960348929,0.21913895123444194,8541,1074,7467,187,943,100,3
A3,200,1.5,2.51,0.1984973339796413,0.7534498620055198,0.314214463840399,4126,819,3307,268,943,100,3
A3,200,1.5,3.01,0.7347480106100795,0.5776850886339937,0.6468184471687097,754,554,200,405,943,100,3
A3,200,1.5,3.51,0.9714285714285714,0.39787234042553193,0.5645283018867925,385,374,11,566,943,100,3
A3,200,1.5,4.01,0.9961832061068703,0.2779552715654952,0.43463780183180684,262,261,1,678,943,100,3
A3,200,1.5,4.51,0.9943502824858758,0.18683651804670912,0.3145665773011617,177,176,1,766,943,100,3
A3,200,1.5,5.01,0.9894736842105263,0.09968186638388123,0.18111753371868977,95,94,1,849,943,100,3
A3,200,2.5,1.01,0.9795918367346939,0.40981856990394877,0.5778781038374717,392,384,8,553,943,100,3
A3,200,2.5,1.51,0.9795918367346939,0.40981856990394877,0.5778781038374717,392,384,8,553,943,100,3
A3,200,2.5,2.01,0.9795918367346939,0.40981856990394877,0.5778781038374717,392,384,8,553,943,100,3
A3,200,2.5,2.51,0.9792207792207792,0.4023479188900747,0.5703479576399394,385,377,8,560,943,100,3
A3,200,2.5,3.01,0.9840848806366048,0.3959445037353255,0.5646879756468798,377,371,6,566,943,100,3
A3,200,2.5,3.51,0.9879154078549849,0.3486140724946695,0.5153664302600474,331,327,4,611,943,100,3
A3,200,2.5,4.01,1.0,0.26517571884984026,0.41919191919191917,249,249,0,690,943,100,3
A3,200,2.5,4.51,1.0,0.18365180467091294,0.31031390134529147,173,173,0,769,943,100,3
A3,200,2.5,5.01,1.0,0.09862142099681867,0.17953667953667957,93,93,0,850,943,100,3
A3,200,3.5,1.01,1.0,0.09978768577494693,0.1814671814671815,94,94,0,848,943,100,3
A3,200,3.5,1.51,1.0,0.09978768577494693,0.1814671814671815,94,94,0,848,943,100,3
A3,200,3.5,2.01,1.0,0.09978768577494693,0.1814671814671815,94,94,0,848,943,100,3
A3,200,3.5,2.51,1.0,0.09978768577494693,0.1814671814671815,94,94,0,848,943,100,3
A3,200,3.5,3.01,1.0,0.09978768577494693,0.1814671814671815,94,94,0,848,943,100,3
A3,200,3.5,3.51,1.0,0.09660297239915075,0.17618586640851888,91,91,0,851,943,100,3
A3,200,3.5,4.01,1.0,0.09554140127388536,0.1744186046511628,90,90,0,852,943,100,3
A3,200,3.5,4.51,1.0,0.08492569002123142,0.15655577299412915,80,80,0,862,943,100,3
A3,200,3.5,5.01,1.0,0.05726405090137858,0.10832497492477432,54,54,0,889,943,100,3
A3,200,4.5,1.01,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,1.51,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,2.01,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,2.51,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,3.01,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,3.51,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,4.01,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,4.51,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,200,4.5,5.01,1.0,0.003181336161187699,0.0063424947145877385,3,3,0,940,943,100,3
A3,225,0.5,1.01,0.0441884346319235,0.9704016913319239,0.08452779227156931,93486,4131,89355,126,943,100,3
A3,225,0.5,1.51,0.04437608288250062,0.9619315278487481,0.08483837894475929,84843,3765,81078,149,943,100,3
A3,225,0.5,2.01,0.057024488072619804,0.9219283276450512,0.10740556660039761,37896,2161,35735,183,943,100,3
A3,225,0.5,2.51,0.1373730964467005,0.7504332755632582,0.2322338428533119,6304,866,5438,288,943,100,3
A3,225,0.5,3.01,0.3955491744436468,0.5651282051282052,0.4653716216216216,1393,551,842,424,943,100,3
A3,225,0.5,3.51,0.5063829787234042,0.37658227848101267,0.4319419237749546,705,357,348,591,943,100,3
A3,225,0.5,4.01,0.5730337078651685,0.27070063694267515,0.36770007209805333,445,255,190,687,943,100,3
A3,225,0.5,4.51,0.5848375451263538,0.17179215270413573,0.26557377049180325,277,162,115,781,943,100,3
A3,225,0.5,5.01,0.6319444444444444,0.09639830508474577,0.16727941176470587,144,91,53,853,943,100,3
A3,225,1.5,1.01,0.10649852724594992,0.8725490196078431,0.18982772764561118,10864,1157,9707,169,943,100,3
A3,225,1.5,1.51,0.11171960569550932,0.8630769230769231,0.19783126157101297,10043,1122,8921,178,943,100,3
A3,225,1.5,2.01,0.12035135751768196,0.8366375892149088,0.21043183404807023,8766,1055,7711,206,943,100,3
A3,225,1.5,2.51,0.19805194805194806,0.7308755760368664,0.31165258400471607,4004,793,3211,292,943,100,3
A3,225,1.5,3.01,0.7662337662337663,0.5542797494780793,0.6432465172622652,693,531,162,427,943,100,3
A3,225,1.5,3.51,0.9747899159663865,0.3706070287539936,0.537037037037037,357,348,9,591,943,100,3
A3,225,1.5,4.01,0.9920318725099602,0.26545842217484006,0.4188393608074011,251,249,2,689,943,100,3
A3,225,1.5,4.51,1.0,0.17091295116772823,0.29193109700815956,161,161,0,781,943,100,3
A3,225,1.5,5.01,1.0,0.09437963944856839,0.17248062015503876,89,89,0,854,943,100,3
A3,225,2.5,1.01,0.9837837837837838,0.3880597014925373,0.5565749235474007,370,364,6,574,943,100,3
A3,225,2.5,1.51,0.9837837837837838,0.3880597014925373,0.5565749235474007,370,364,6,574,943,100,3
A3,225,2.5,2.01,0.9837837837837838,0.3880597014925373,0.5565749235474007,370,364,6,574,943,100,3
A3,225,2.5,2.51,0.9836065573770492,0.3837953091684435,0.5521472392638036,366,360,6,578,943,100,3
A3,225,2.5,3.01,0.9860724233983287,0.3773987206823028,0.5458750963762529,359,354,5,584,943,100,3
A3,225,2.5,3.51,0.990228013029316,0.32374866879659214,0.4879614767255217,307,304,3,635,943,100,3
A3,225,2.5,4.01,1.0,0.2505330490405117,0.4006820119352088,235,235,0,703,943,100,3
A3,225,2.5,4.51,1.0,0.16666666666666666,0.2857142857142857,157,157,0,785,943,100,3
A3,225,2.5,5.01,1.0,0.09013785790031813,0.16536964980544747,85,85,0,858,943,100,3
A3,225,3.5,1.01,1.0,0.09447983014861996,0.1726479146459748,89,89,0,853,943,100,3
A3,225,3.5,1.51,1.0,0.09447983014861996,0.1726479146459748,89,89,0,853,943,100,3
A3,225,3.5,2.01,1.0,0.09447983014861996,0.1726479146459748,89,89,0,853,943,100,3
A3,225,3.5,2.51,1.0,0.09447983014861996,0.1726479146459748,89,89,0,853,943,100,3
A3,225,3.5,3.01,1.0,0.09447983014861996,0.1726479146459748,89,89,0,853,943,100,3
A3,225,3.5,3.51,1.0,0.09129511677282377,0.16731517509727625,86,86,0,856,943,100,3
A3,225,3.5,4.01,1.0,0.0881104033970276,0.1619512195121951,83,83,0,859,943,100,3
A3,225,3.5,4.51,1.0,0.07961783439490445,0.14749262536873153,75,75,0,867,943,100,3
A3,225,3.5,5.01,1.0,0.05514316012725345,0.10452261306532663,52,52,0,891,943,100,3
A3,225,4.5,1.01,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,1.51,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,2.01,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,2.51,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,3.01,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,3.51,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,4.01,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,4.51,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,225,4.5,5.01,1.0,0.0042417815482502655,0.008447729672650476,4,4,0,939,943,100,3
A3,250,0.5,1.01,0.04407393046400414,0.967833491012299,0.08430855447502886,92844,4092,88752,136,943,100,3
A3,250,0.5,1.51,0.0441901684411059,0.9569190600522193,0.0844791222469372,82937,3665,79272,165,943,100,3
A3,250,0.5,2.01,0.05761740485199199,0.9115316901408451,0.10838392296420347,35944,2071,33873,201,943,100,3
A3,250,0.5,2.51,0.14390371533228677,0.7236842105263158,0.2400698384984723,5733,825,4908,315,943,100,3
A3,250,0.5,3.01,0.43358395989974935,0.5339506172839507,0.47856154910096815,1197,519,678,453,943,100,3
A3,250,0.5,3.51,0.5931899641577061,0.3491561181434599,0.43957503320053126,558,331,227,617,943,100,3
A3,250,0.5,4.01,0.6546961325966851,0.2510593220338983,0.36294027565084225,362,237,125,707,943,100,3
A3,250,0.5,4.51,0.6696035242290749,0.16033755274261605,0.25872340425531914,227,152,75,796,943,100,3
A3,250,0.5,5.01,0.58,0.09177215189873418,0.15846994535519127,150,87,63,861,943,100,3
A3,250,1.5,1.01,0.10366980550910851,0.8680913780397936,0.1852201257861635,11363,1178,10185,179,943,100,3
A3,250,1.5,1.51,0.10898238182343314,0.8543396226415094,0.19330601092896177,10387,1132,9255,193,943,100,3
A3,250,1.5,2.01,0.11642849230087515,0.8249607535321821,0.20405785846034366,9027,1051,7976,223,943,100,3
A3,250,1.5,2.51,0.19853900339159927,0.7033271719038817,0.30966429298067144,3833,761,3072,321,943,100,3
A3,250,1.5,3.01,0.7682926829268293,0.5255474452554745,0.6241486068111455,656,504,152,455,943,100,3
A3,250,1.5,3.51,0.9728915662650602,0.34361702127659577,0.5078616352201258,332,323,9,617,943,100,3
A3,250,1.5,4.01,0.9829787234042553,0.2462686567164179,0.3938618925831202,235,231,4,707,943,100,3
A3,250,1.5,4.51,0.9731543624161074,0.1537645811240721,0.2655677655677655,149,145,4,798,943,100,3
A3,250,1.5,5.01,0.9642857142857143,0.08589607635206786,0.15774099318403115,84,81,3,862,943,100,3
A3,250,2.5,1.01,0.9836956521739131,0.3855165069222577,0.5539403213465952,368,362,6,577,943,100,3
A3,250,2.5,1.51,0.9836956521739131,0.3855165069222577,0.5539403213465952,368,362,6,577,943,100,3
A3,250,2.5,2.01,0.9836956521739131,0.3855165069222577,0.5539403213465952,368,362,6,577,943,100,3
A3,250,2.5,2.51,0.9835164835164835,0.3812566560170394,0.5495011511895626,364,358,6,581,943,100,3
A3,250,2.5,3.01,0.9859550561797753,0.3738019169329074,0.5420849420849422,356,351,5,588,943,100,3
A3,250,2.5,3.51,0.9965397923875432,0.30670926517571884,0.4690553745928339,289,288,1,651,943,100,3
A3,250,2.5,4.01,1.0,0.23560767590618337,0.3813632441760138,221,221,0,717,943,100,3
A3,250,2.5,4.51,1.0,0.15164369034994699,0.26335174953959484,143,143,0,800,943,100,3
A3,250,2.5,5.01,1.0,0.08483563096500531,0.15640273704789834,80,80,0,863,943,100,3
A3,250,3.5,1.01,1.0,0.0881104033970276,0.1619512195121951,83,83,0,859,943,100,3
A3,250,3.5,1.51,1.0,0.0881104033970276,0.1619512195121951,83,83,0,859,943,100,3
A3,250,3.5,2.01,1.0,0.0881104033970276,0.1619512195121951,83,83,0,859,943,100,3
A3,250,3.5,2.51,1.0,0.0881104033970276,0.1619512195121951,83,83,0,859,943,100,3
A3,250,3.5,3.01,1.0,0.0881104033970276,0.1619512195121951,83,83,0,859,943,100,3
A3,250,3.5,3.51,1.0,0.08598726114649681,0.15835777126099704,81,81,0,861,943,100,3
A3,250,3.5,4.01,1.0,0.08492569002123142,0.15655577299412915,80,80,0,862,943,100,3
A3,250,3.5,4.51,1.0,0.07317073170731707,0.13636363636363635,69,69,0,874,943,100,3
A3,250,3.5,5.01,1.0,0.05408271474019088,0.10261569416498995,51,51,0,892,943,100,3
A3,250,4.5,1.01,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,1.51,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,2.01,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,2.51,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,3.01,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,3.51,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,4.01,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,4.51,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,250,4.5,5.01,1.0,0.005302226935312832,0.010548523206751054,5,5,0,938,943,100,3
A3,275,0.5,1.01,0.04405013836887514,0.9639040607931608,0.08425007264726639,92145,4059,88086,152,943,100,3
A3,275,0.5,1.51,0.04427057784754243,0.950750592573084,0.08460177405936185,81544,3610,77934,187,943,100,3
A3,275,0.5,2.01,0.05774391827547398,0.8985181859003143,0.10851409978308026,34653,2001,32652,226,943,100,3
A3,275,0.5,2.51,0.1480865224625624,0.7057268722466961,0.24480440097799513,5409,801,4608,334,943,100,3
A3,275,0.5,3.01,0.4503249767873723,0.5,0.4738641914997558,1077,485,592,485,943,100,3
A3,275,0.5,3.51,0.5810055865921788,0.33085896076352067,0.4216216216216217,537,312,225,631,943,100,3
A3,275,0.5,4.01,0.6358208955223881,0.2268370607028754,0.33437990580847726,335,213,122,726,943,100,3
A3,275,0.5,4.51,0.6035242290748899,0.14528101802757157,0.2341880341880342,227,137,90,806,943,100,3
A3,275,0.5,5.01,0.6460176991150443,0.07741251325556733,0.13825757575757577,113,73,40,870,943,100,3
A3,275,1.5,1.01,0.10004268032437047,0.8548504741064916,0.1791227265780223,11715,1172,10543,199,943,100,3
A3,275,1.5,1.51,0.10406776505631574,0.8368263473053892,0.18511466180975245,10743,1118,9625,218,943,100,3
A3,275,1.5,2.01,0.11047017849368741,0.7985837922895358,0.19409121330911175,9188,1015,8173,256,943,100,3
A3,275,1.5,2.51,0.1957154192012695,0.6839186691312384,0.30433888546164917,3781,740,3041,342,943,100,3
A3,275,1.5,3.01,0.7560192616372392,0.49164926931106473,0.5958254269449715,623,471,152,487,943,100,3
A3,275,1.5,3.51,0.9777777777777777,0.32800851970181044,0.49122807017543857,315,308,7,631,943,100,3
A3,275,1.5,4.01,0.9906976744186047,0.2268370607028754,0.36915077989601386,215,213,2,726,943,100,3
A3,275,1.5,4.51,0.9856115107913669,0.14528101802757157,0.2532347504621072,139,137,2,806,943,100,3
A3,275,1.5,5.01,1.0,0.07741251325556733,0.14370078740157477,73,73,0,870,943,100,3
A3,275,2.5,1.01,0.9835164835164835,0.3812566560170394,0.5495011511895626,364,358,6,581,943,100,3
